Manufacturer,Model,Power Perf Factor,Unit Sales,Price,Year Resale Value,Retention %,Retention Value,Engine Size,Horsepower,Vehicle_type,Fuel Efficiency,Wheelbase,Width,Length,Curb Weight,Fuel Capacity,Latest Launch
Acura,Integra,58.28014952,16919,"$21,500","$16,360",76%,GOOD,1.8,140,Passenger,28,101.2,67.3,172.4,2.639,13.2,02-02-2012
Acura,TL,91.37077766,39384,"$28,400","$19,875",70%,GOOD,3.2,225,Passenger,25,108.1,70.3,192.9,3.517,17.2,03-06-2011
Acura,RL,91.38977933,8588,"$42,000","$29,725",71%,GOOD,3.5,210,Passenger,22,114.6,71.4,196.6,3.85,18,10-03-2011
Audi,A4,62.7776392,20397,"$23,990","$22,255",93%,GOOD,1.8,150,Passenger,27,102.6,68.2,178,2.998,16.4,08-10-2011
Audi,A6,84.56510502,18780,"$33,950","$23,555",69%,GOOD,2.8,200,Passenger,22,108.7,76.1,192,3.561,18.5,09-08-2011
Audi,A8,134.6568582,1380,"$62,000","$39,000",63%,POOR,4.2,310,Passenger,21,113,74,198.2,3.902,23.7,27-02-2012
BMW,323i,71.19120671,19747,"$26,990","$24,500",91%,GOOD,2.5,170,Passenger,26,107.3,,176,3.179,16.6,28-06-2011
BMW,328i,81.87706856,9231,"$33,400","$28,675",86%,GOOD,,193,Passenger,24,107.3,,176,3.197,16.6,29-01-2012
BMW,528i,83.9987238,17527,"$38,900",,0%,POOR,2.8,193,Passenger,25,111.4,70.9,188,?,18.5,04-04-2011
Buick,Century,71.18145132,91561,"$21,975","$12,475",57%,POOR,3.1,175,Passenger,25,109,72.7,194.6,3.368,17.5,02-11-2011
Buick,Regal,95.63670253,39350,"$25,300","$13,740",54%,POOR,3.8,240,Passenger,23,109,72.7,196.2,3.543,17.5,03-09-2011
Buick,Park Avenue,85.82840825,27851,"$31,965","$20,190",63%,POOR,3.8,205,Passenger,24,113.8,74.7,206.8,3.778,18.5,23-03-2012
Buick,LeSabre,84.25452581,83257,"$27,885","$13,360",48%,POOR,3.8,205,Passenger,25,112.2,73.5,200,3.591,17.5,23-07-2011
Cadillac,DeVille,113.8545976,63729,"$39,895","$22,525",56%,POOR,4.6,275,,,115.3,74.5,207.2,3.978,18.5,23-02-2012
Cadillac,Seville,Null,15943,"$44,475","$27,100",61%,POOR,4.6,275,Passenger,22,112.2,75,201,?,18.5,29-04-2011
Cadillac,Eldorado,113.7658739,6536,"$39,665","$25,725",65%,POOR,4.6,275,Passenger,22,108,75.5,200.6,3.843,19,27-11-2011
